timestamp(ms),set,PWM,temp_int,time_of_one_cycle,temp_delta,temp_i�>temp_int,time_of_me_of_one_cycle,
"1708895969.449","-30","11589","-30.04","82","0.11",,,
"1708895969.45","-30","7534","-29.95","82","-0.04",,,
"1708895969.451","-30","10044","-29.92","83","0.05",,,
"1708895969.452","-30","10623","-30.02","82","0.08",,,
"1708895969.453","-30","8114","-30.05","82","-0.02",,,
"1708895969.454",,,,,"-0.05",,,
"1708895969.88","-30",,,,,,,
"1708895969.881",,"7148","-30.02","82",,,,
"1708895969.882","-30","7920","-30.1",,"-0.02",,,
"1708895969.883","-30",,,"82","-0.1",,,
"1708895969.884",,"5990","-30.09","82","-0.09",,,
"1708895969.885","-30","6183","-30.07",,,,,
"1708895969.886","-30",,,"82","-0.07",,,
"1708895969.887",,"6569","-30.05","82",,,,
"1708895969.888","-30",,,,"-0.05",,,
"1708895969.889",,"7148","-29.99","82",,,,
"1708895969.89","-30","8886",,,"0.01",,,
"1708895969.891",,,"-29.92","82","0.08",,,
"1708895969.892","-30","10816","-29.91",,,,,
"1708895969.893","-30",,,"83","0.09",,,
"1708895969.894",,"11009","-29.97","83",,,,
"1708895969.895","-30","9272",,,"0.03",,,
"1708895969.896",,,"-30.07","82","-0.07",,,
"1708895969.897","-30","6762",,,,,,
"1708895969.898",,,"-29.96","82","0.04",,,
"1708895969.899","-30","9658","-29.94",,,,,
"1708895969.9","-30",,,"82","0.06",,,
"1708895969.901",,"10237","-29.92","83",,,,
"1708895969.902","-30","10623",,,"0.08",,,
"1708895969.908","-30",,"-30.05","82","-0.05",,,
"1708895969.909",,"7148","-30.07","82",,,,
"1708895969.91","-30","6569","-30.09",,"-0.07",,,
"1708895969.911","-30","6183",,"82","-0.09",,,
"1708895969.912",,,"-30.2","82","-0.2",,,
"1708895969.913","-30","3093","-30.05","82","-0.05",,,
"1708895969.914","-30","7148","-30.09",,,,,
"1708895969.915","-30",,,"82","-0.09",,,
"1708895969.916","-30","6182","-29.96","83","0.04",,,
"1708895969.917","-30","9658","-29.96","83","0.04",,,
"1708895969.918","-30","9658","-29.95","83","0.05",,,
"1708895969.919","-30","8692","-29.92","83","0.08",,,
"1708895969.92","-30","8692","-30.02","82","-0.02",,,
"1708895969.921","-30","9272","-29.99","83","0.03",,,
"1708895969.922","-30","7727","-30.1","82","-0.03",,,
"1708895969.923","-30","5217","-30.2","82","-0.12",,,
"1708895969.924","-30","8692","-30.07","83","0",,,
"1708895969.925","-30","10044","-29.95","82","0.05",,,
"1708895969.926","-30","9464","-29.92","83","0.08",,,
"1708895969.927","-30","8692","-29.99","82","0.01",,,
"1708895969.962","-30",,,,,,,
"1708895969.963",,"8885","-29.97",,,,,
"1708895969.966",,,,"82",,,,
"1708895970.011","-30","9464","-29.96",,"0.03",,,
"1708895970.012","-30",,,"82","0.04",,,
"1708895970.013","-30","9658","-29.98","82","0.02",,,
"1708895970.014",,"9078","-29.96",,,,,
"1708895970.016",,,,"83",,,,
"1708895970.017","-30",,,,"0.04",,,
"1708895970.018",,"9658","-29.97",,,,,
"1708895970.019",,,,"83","0.03",,,
"1708895970.02","-30","9272",,,,,,
"1708895970.021",,,"-30.03",,,,,
"1708895970.022",,,,"82","-0.03",,,
"1708895970.393","-30","7727",,,,,,
"1708895970.394",,,"-30.09","82",,,,
"1708895970.395","-30","6182",,,"-0.09",,,
"1708895970.396","-30","6375","-30.03","82","-0.08",,,
"1708895970.397","-30","7727","-30.09","82","-0.03",,,
"1708895970.398","-30",,,"82","-0.09",,,
"1708895970.399",,"6182","-30.12","82",,,,
"1708895970.4",,,,,"-0.12",,,
"1708895970.401","-30","5410","-30.04","82",,,,
"1708895970.402","-30","7534",,,"-0.04",,,
"1708895970.403","-30",,"-30.11","82","-0.11",,,
"1708895970.404",,"5603","-29.98","83",,,,
"1708895970.405","-30","9078",,,"0.02",,,
"1708895970.406",,,"-30.04","82",,,,
"1708895970.407","-30","7533","-29.95","82","-0.04",,,
"1708895970.408","-30","10043","-30",,"0.05",,,
"1708895970.409","-30","8499","-29.92","82","0",,,
"1708895970.41","-30","10816","-30","83","0.08",,,
"1708895970.411","-30","8692",,"83","0",,,
"1708895970.412","-30","8113","-30.02","82","-0.02",,,
"1708895970.413",,,"-29.97","83","0.03",,,
"1708895970.414","-30","9271","-29.96",,,,,
"1708895970.416",,,,"83",,,,
"1708895970.417","-30","9657","-29.97",,"0.04",,,
"1708895970.418","-30","9464","-30","82","0.03",,,
"1708895970.419","-30","8692","-30.02","83","0",,,
"1708895970.42","-30","8113",,"82","-0.02",,,
"1708895970.421",,,"-29.95","82","0.05",,,
"1708895970.422","-30","10043","-30.04","82",,,,
"1708895970.423","-30","7534",,,"-0.04",,,
"1708895970.424","-30","6954","-30.06","82","-0.06",,,
"1708895970.425","-30",,"-30.07","82","-0.07",,,
"1708895970.426","-30","6761","-30.1","83","-0.1",,,
"1708895970.427","-30","5796","-29.99","83","0.01",,,
"1708895970.428","-30","8885","-30.1","82","-0.1",,,
"1708895970.429",,"5989","-29.97","83",,,,
"1708895970.43","-30","9271","-29.91",,"0.03",,,
"1708895970.431","-30",,,"83","0.09",,,
"1708895970.432",,"11009","-29.95","83","0.05",,,
"1708895970.433","-30","9850","-30.02","82","-0.02",,,
"1708895970.434","-30",,,,,,,
"1708895970.435",,"8113",,,,,,
"1708895970.437",,,"-30.09",,,,,
"1708895970.438",,,,"82",,,,
"1708895970.439","-30","6182",,,"-0.09",,,
"1708895970.44",,,"-29.97","83","0.03",,,
"1708895970.441","-30","9271","-29.99","83","0.01",,,
"1708895970.442","-30","8885","-29.88","83","0.12",,,
"1708895970.443","-30","11781","-29.94",,,,,
"1708895970.444",,,,"82","0.06",,,
"1708895970.445","-30","10236","-29.88","83",,,,
"1708895970.446","-30","11781","-29.92",,"0.12",,,
"1708895970.447","-30","10623","-29.98","83","0.08",,,
"1708895970.448","-30",,,"83","0.02",,,
"1708895970.449",,"9078",,,,,,
"1708895970.45","-30",,"-30.05","82","-0.05",,,
"1708895970.451",,"7341","-30.07","82",,,,
"1708895970.452","-30","6568","-30.06",,"-0.07",,,
"1708895970.453","-30","6954",,"82","-0.06",,,
"1708895970.454","-30",,"-30.1","82","-0.1",,,
"1708895970.455",,"5989","-30.07",,,,,
"1708895970.462",,,,"83","-0.07",,,
"1708895970.463","-30",,,,,,,
"1708895970.464",,"6568","-30.07","82",,,,
"1708895970.466","-30",,,,"-0.07",,,
"1708895970.467",,"6568","-30.01","82",,,,
"1708895970.468",,,,,"-0.01",,,
"1708895970.905","-30","8306",,,,,,
"1708895970.906",,,"-30.04","82","-0.04",,,
"1708895970.907","-30",,,,,,,
"1708895970.909",,"7533","-30.04",,,,,
"1708895970.91",,,,"82",,,,
"1708895970.911","-30",,,,"-0.04",,,
"1708895970.912",,"7533","-29.9",,,,,
"1708895970.913",,,,"83","0.1",,,
"1708895970.914","-30","11395","-30.05",,,,,
"1708895970.915",,,,"82",,,,
"1708895970.916",,,,,"-0.05",,,
"1708895970.917","-30","7340",,,,,,
"1708895970.918",,,"-29.95","83","0.05",,,
"1708895970.919","-30","9850",,,,,,
"1708895970.92",,,"-29.95","82",,,,
"1708895970.921","-30","10043",,,"0.05",,,
"1708895970.922",,,"-30.02","82",,,,
"1708895970.923","-30",,,,"-0.02",,,
"1708895970.924",,"7920",,,,,,
"1708895970.925",,,"-29.94","82",,,,
"1708895970.926","-30",,,,"0.06",,,
"1708895970.927",,"10236","-29.94",,,,,
"1708895970.928",,,,"83",,,,
"1708895970.929","-30",,,,"0.06",,,
"1708895970.93",,"10236","-30.02",,,,,
"1708895970.931",,,,"82",,,,
"1708895970.934","-30",,,,"-0.02",,,
"1708895970.935",,"8113","-30.02",,,,,
"1708895970.936",,,,"82","-0.02",,,
"1708895970.942","-30",,,,,,,
"1708895970.944",,"8113",,,,,,
"1708895970.945",,,"-30.1",,,,,
"1708895970.946",,,,"82","-0.1",,,
"1708895970.947","-30","5989","-30.03",,,,,
"1708895970.954","-30","7726","-30.09","82","-0.03",,,
"1708895970.955","-30","6182","-30.1","82","-0.09",,,
"1708895970.956","-30","5989","-30.05","82","-0.1",,,
"1708895970.957","-30","7340","-30.08",,"-0.05",,,
"1708895970.958","-30","6375","-30.02","82","-0.08",,,
"1708895970.959","-30","7919","-30.01","82","-0.02",,,
"1708895970.96","-30","8305","-30.02","82","-0.01",,,
"1708895970.961","-30","7919",,,"-0.02",,,
"1708895970.962","-30",,"-29.95","83","0.05",,,
"1708895970.963","-30","9850","-29.93","83","0.07",,,
"1708895970.964","-30","10429","-29.98","82","0.02",,,
"1708895970.965","-30","9078","-29.97","83","0.03",,,
"1708895970.966",,"9464","-30.04",,,,,
"1708895970.967","-30",,,"82","-0.04",,,
"1708895970.968","-30","7533","-29.99","83","0.01",,,
"1708895970.969","-30","8885","-30.07","82","-0.07",,,
"1708895970.97",,"6761","-30.01","82","-0.01",,,
"1708895970.971","-30","8305","-30.13","83",,,,
"1708895970.972","-30","5023","-30.08","82","-0.13",,,
"1708895970.973","-30","6375","-30.07","83","-0.08",,,
"1708895970.974","-30","6568","-30.13","82","-0.07",,,
"1708895970.975","-30","5023","-30.06","82","-0.13",,,
"1708895970.976","-30","6954","-30","83","-0.06",,,
"1708895970.977","-30","8691","-29.95","83","0",,,
"1708895970.978","-30","9850","-30.02","82","0.05",,,
"1708895970.979","-30","8112","-30.02","82","-0.02",,,
"1708895970.98","-30","7919","-29.99","82","-0.02",,,
"1708895970.981","-30","8884","-29.99","83","0.01",,,
"1708895970.982","-30","8884","-29.95",,"0.01",,,
"1708895970.983","-30","9850",,"83","0.05",,,
"1708895970.984","-30",,"-30","82","0",,,
"1708895970.985","-30","8498","-30.01","82","-0.01",,,
"1708895970.986","-30","8305","-30.07","82","-0.07",,,
"1708895970.987","-30","4830","-30.14","82","-0.14",,,
"1708895970.988",,,"-30.12","82","-0.12",,,
"1708895971.418","-30","5409","-30.1","82","-0.1",,,
"1708895971.419",,"5795","-30.01","82","-0.01",,,
"1708895971.42","-30","8305","-30.04","82","-0.04",,,
"1708895971.421","-30","7532","-29.92","83",,,,
"1708895971.422","-30","10815","-29.95","82","0.05",,,
"1708895971.423","-30","9463","-29.97","83","0.03",,,
"1708895971.424","-30","8691","-30","83","0",,,
"1708895971.425","-30",,"-30.02","82","-0.02",,,
"1708895971.426","-30","8112","-30.03","82","-0.03",,,
"1708895971.427",,"7726","-30.08","82",,,,
"1708895971.435","-30","6374",,,"-0.08",,,
"1708895971.436","-30",,"-30.08","82","-0.08",,,
"1708895971.437","-30","6374","-30.04","82","-0.04",,,
"1708895971.438",,"7532","-30.07","82","-0.07",,,
"1708895971.439","-30","6567","-30.09","82",,,,
"1708895971.44","-30","6181","-30.02","82","-0.02",,,
"1708895971.441","-30","8111",,,,,,
"1708895971.442",,,"-30.02","82","-0.02",,,
"1708895971.443","-30","8111","-29.98",,,,,
"1708895971.444","-30","9077","-29.98","83","0.02",,,
"1708895971.445","-30","9077","-30.02","82","0.02",,,
"1708895971.446","-30","7918","-30.15","83","-0.02",,,
"1708895971.447","-30","4443","-29.89","82","0.11",,,
"1708895971.448","-30","11586","-29.94","83",,,,
"1708895971.449","-30","10235","-30.03","82","0.06",,,
"1708895971.45","-30","7725","-30.02",,"-0.03",,,
"1708895971.451","-30","7918",,"82","-0.02",,,
"1708895971.452","-30","7339","-30.05","82","-0.05",,,
"1708895971.453",,,"-30.08","82","-0.08",,,
"1708895971.493","-30",,,,,,,
"1708895971.494",,"6374","-30.18",,,,,
"1708895971.496",,,,"83","-0.18",,,
"1708895971.497","-30",,,,,,,
"1708895971.498",,"3670","-30.12","82","-0.12",,,
"1708895971.499","-30","5408","-30.02",,,,,
"1708895971.5","-30",,,"82","-0.02",,,
"1708895971.501",,"8111","-30.03",,,,,
"1708895971.502",,,,"83",,,,
"1708895971.503","-30",,,,"-0.03",,,
"1708895971.504",,"7725","-30.05","82",,,,
"1708895971.537",,,,,"-0.05",,,
"1708895971.538","-30","7339","-29.9","82",,,,
"1708895971.539","-30","11393",,,"0.1",,,
"1708895971.54",,,"-29.9","82","0.1",,,
"1708895971.541","-30","11200","-30.05","83",,,,
"1708895971.542",,,,,"-0.05",,,
"1708895971.55","-30","7146","-30.06","82",,,,
"1708895971.551",,,,,"-0.06",,,
"1708895971.552","-30",,,,,,,
"1708895971.554",,"6953","-29.96","83","0.04",,,
"1708895971.555","-30","9656","-30.07","82","-0.07",,,
"1708895971.556","-30","5408","-30.12","83","-0.12",,,
"1708895971.557","-30","7339","-30.11","83","-0.11",,,
"1708895971.558","-30","9269","-29.97","83","0.03",,,
"1708895971.559","-30","5408","-29.98","82","-0.12",,,
"1708895971.56","-30","9076","-29.91","83","0.02",,,
"1708895971.575","-30","11007",,,"0.09",,,
"1708895971.576",,,"-30.02","83","-0.02",,,
"1708895971.93","-30",,,,,,,
"1708895971.931","-30","7918","-29.92","83","0.08",,,
"1708895971.932","-30","10814","-29.97","83","0.03",,,
"1708895971.933",,"9269","-30.05","82",,,,
"1708895971.934","-30","7339","-30","83","-0.05",,,
"1708895971.935",,,,,"0",,,
"1708895971.937","-30","8690","-30.15",,,,,
"1708895971.938",,,,"82","-0.15",,,
"1708895971.939","-30","4442","-30.15","83","-0.15",,,
"1708895971.94","-30","4442","-30.06","82","-0.06",,,
"1708895971.941","-30","6952","-30.18","83",,,,
"1708895971.942","-30","3670","-30.02",,"-0.18",,,
"1708895971.943","-30",,,"82","-0.02",,,
"1708895971.944",,"8110","-29.97","83",,,,
"1708895971.945","-30","9269","-30",,"0.03",,,
"1708895971.946","-30","8690",,"83","0",,,
"1708895971.947","-30","9462","-29.97","83","0.03",,,
"1708895971.948","-30",,"-30.02","82","-0.02",,,
"1708895971.949","-30","8110","-30.03","82","-0.03",,,
"1708895971.95","-30","7724","-29.97","82","0.03",,,
"1708895971.951",,"9462","-30","83",,,,
"1708895971.952","-30","8690","-29.97",,"0",,,
"1708895971.953","-30",,,"83","0.03",,,
"1708895971.954",,"9462","-30.04","82","-0.04",,,
"1708895971.955","-30","7531",,,,,,
"1708895971.964",,,"-30.06",,,,,
"1708895971.965","-30","6952","-30.1","82","-0.06",,,
"1708895971.966","-30","5986","-30.1","82","-0.1",,,
"1708895971.967","-30","5986","-30.05","82","-0.05",,,
"1708895971.968","-30","11585","-29.99","82","0.11",,,
"1708895971.969","-30","8882","-29.99",,"0.01",,,
"1708895971.97","-30","8882","-30.05","82","-0.05",,,
"1708895971.971","-30","7145","-29.97",,,,,
"1708895971.972","-30","9462","-29.97","83","0.03",,,
"1708895971.973","-30","9462","-29.97","82","0.03",,,
"1708895971.974","-30","9269","-30.07","82","-0.07",,,
"1708895971.975","-30","6566","-30","83","0",,,
"1708895971.976","-30","8689","-30.05","82","-0.05",,,
"1708895971.977","-30","7145","-30.08","82","-0.08",,,
"1708895971.978","-30","6372","-30.09","82","-0.09",,,
"1708895971.979","-30","6179","-30.11","83","-0.11",,,
"1708895971.98","-30","5600","-30.01","82",,,,
"1708895971.981","-30","8303","-30","82","0",,,
"1708895971.982","-30","8689","-29.98",,,,,
"1708895971.983","-30","9075",,"82","0.02",,,
"1708895971.984","-30","7917","-30.02","82","-0.02",,,
"1708895971.985",,,"-29.99","82",,,,
"1708895971.988","-30",,,,"0.01",,,
"1708895971.989",,"8882","-29.92","83",,,,
"1708895971.99","-30",,,,"0.08",,,
"1708895971.991",,"10813","-30.05","82",,,,
"1708895971.992","-30","7338","-30.08",,"-0.05",,,
"1708895971.993","-30",,,"82","-0.08",,,
"1708895971.994",,"6372","-30.04",,,,,
"1708895971.995","-30",,,"82","-0.04",,,
"1708895971.996",,"7531","-30.09",,,,,
"1708895971.997","-30",,,"82","-0.09",,,
"1708895972.443",,"6179","-30.14",,,,,
"1708895972.444","-30","4827",,"82","-0.14",,,
"1708895972.445",,,"-30.07",,,,,
"1708895972.447",,,,"82",,,,
"1708895972.449",,,,,"-0.07",,,
"1708895972.451","-30",,,,,,,
"1708895972.452",,"6758",,,,,,
"1708895972.455",,,"-30.05","82",,,,
"1708895972.457",,,,,"-0.05",,,
"1708895972.458","-30","7144",,,,,,
"1708895972.459",,,"-29.97",,,,,
"1708895972.461",,,,"83",,,,
"1708895972.462",,,,,"0.03",,,
"1708895972.463","-30",,,,,,,
"1708895972.464",,"9268",,,,,,
"1708895972.465",,,"-30","83",,,,
"1708895972.466","-30",,,,"0",,,
"1708895972.467",,"8496","-29.95","82",,,,
"1708895972.468",,,,,"0.05",,,
"1708895972.469","-30","10040","-30.02",,,,,
"1708895972.471",,,,"82","-0.02",,,
"1708895972.472","-30",,,,,,,
"1708895972.473",,"8110","-30.03",,,,,
"1708895972.474","-30","7723","-30.05","82","-0.03",,,
"1708895972.475","-30",,,"82","-0.05",,,
"1708895972.476",,"7337","-30.02","82",,,,
"1708895972.477","-30","7916","-30.07",,"-0.02",,,
"1708895972.482","-30","6565","-30.12","82","-0.07",,,
"1708895972.483","-30","5406","-30.1","82","-0.1",,,
"1708895972.484","-30","9268","-29.97","83","0.03",,,
"1708895972.485","-30","9075","-29.97","83","0.03",,,
"1708895972.486","-30","7723","-29.99","82","-0.03",,,
"1708895972.487","-30",,,,"0.01",,,
"1708895972.488","-30","8882","-29.88","83","0.12",,,
"1708895972.489",,"11778","-30.01","82",,,,
"1708895972.49","-30","8302","-30.05",,"-0.01",,,
"1708895972.491","-30","7337","-29.88","82","-0.05",,,
"1708895972.492","-30","11778","-29.95","83","0.12",,,
"1708895972.493","-30","10040","-30.03","82","0.05",,,
"1708895972.494","-30","7723","-30.15","83","-0.03",,,
"1708895972.495","-30","4441","-30.12","82","-0.15",,,
"1708895972.496","-30","5213","-30.07","82","-0.12",,,
"1708895972.497","-30","6565",,,"-0.07",,,
"1708895972.498","-30","8688","-30","83","0",,,
"1708895972.499","-30","9268","-29.97","83","0.03",,,
"1708895972.5","-30","7337","-30.05","82","-0.05",,,
"1708895972.501","-30","10426","-29.93","83","0.07",,,
"1708895972.502","-30","10426","-29.93","82","0.07",,,
"1708895972.503",,,"-30.02","82","-0.02",,,
"1708895972.504","-30","7916","-29.96","83","0.04",,,
"1708895972.505","-30","9654",,,,,,
"1708895972.506","-30",,"-29.97","83","0.03",,,
"1708895972.507","-30","9268","-29.97","83","0.03",,,
"1708895972.508",,"9461","-29.97","82","0.03",,,
"1708895972.509","-30",,,,,,,
"1708895972.51","-30","9461","-30.02","82","-0.02",,,
"1708895972.511",,"7916","-30.06","83",,,,
"1708895972.516","-30",,,,"-0.06",,,
"1708895972.517",,"6951","-30.07","82",,,,
"1708895972.518","-30","6565",,,"-0.07",,,
"1708895972.519",,,"-30.1","82",,,,
"1708895972.52",,,,,"-0.1",,,
"1708895972.521","-30",,,,,,,
"1708895972.522","-30","5985","-30.05","83","-0.05",,,
"1708895972.523","-30","10426","-29.93","83","0.07",,,
"1708895972.524","-30","7916","-29.95","82","-0.02",,,
"1708895972.525","-30",,,,"0.05",,,
"1708895972.955",,"10040",,,,,,
"1708895972.956",,,"-30","83","0",,,
"1708895972.957","-30","8688",,,,,,
"1708895972.958",,,"-30","83",,,,
"1708895972.959","-30",,,,"0",,,
"1708895972.96",,"8688","-29.95","83",,,,
"1708895972.961",,,,,"0.05",,,
"1708895972.962","-30","9847","-29.93",,,,,
"1708895972.963","-30",,,"83","0.07",,,
"1708895972.964",,"10426","-29.98",,,,,
"1708895972.965","-30",,,"83","0.02",,,
"1708895972.966",,"9075","-30.06",,,,,
"1708895972.967",,,,"82","-0.06",,,
"1708895972.968","-30","6951","-29.98",,,,,
"1708895972.969",,,,"82","0.02",,,
"1708895972.97","-30","9075",,,,,,
"1708895972.971",,,"-29.92",,,,,
"1708895972.972","-30",,,"82","0.08",,,
"1708895972.973",,"10812","-30.02","82",,,,
"1708895972.974","-30",,,,"-0.02",,,
"1708895972.975",,"8109","-30.07","82",,,,
"1708895972.976","-30","6758","-30.17",,"-0.07",,,
"1708895972.985","-30",,,"82","-0.17",,,
"1708895972.986",,"3861","-30.08","82","-0.08",,,
"1708895972.987","-30","6371",,,,,,
"1708895972.988",,,"-30.03","82",,,,
"1708895972.989","-30","7723",,,"-0.03",,,
"1708895972.99",,,"-30.06","82",,,,
"1708895972.991","-30",,,,"-0.06",,,
"1708895972.992","-30","6951","-29.97","83","0.03",,,
"1708895972.993","-30","11777","-29.88","83","0.12",,,
"1708895972.994","-30","7337","-30.05","82","-0.05",,,
"1708895972.995","-30","8688","-30","83","0",,,
"1708895972.996","-30","8495","-30","83","0",,,
"1708895972.997","-30","9461","-29.9","83","0.03",,,
"1708895972.998","-30","11198","-29.98","82","0.02",,,
"1708895972.999","-30","5406","-30.12","82","-0.12",,,
"1708895973","-30","5406","-30.12","82","-0.12",,,
"1708895973.001","-30","6178","-30.02","82","-0.09",,,
"1708895973.002","-30","5792","-30.1","82","-0.1",,,
"1708895973.003","-30",,"-29.99","82","0.01",,,
"1708895973.004",,"8881","-30.11","83",,,,
"1708895973.005","-30","5599",,,"-0.11",,,
"1708895973.006","-30","9460","-29.97","83","0.03",,,
"1708895973.007","-30","8881","-29.99","82","0.01",,,
"1708895973.008","-30",,"-29.97","83","0.03",,,
"1708895973.009","-30","9460","-29.85","83","0.15",,,
"1708895973.01","-30","12742","-30.04","82","-0.04",,,
"1708895973.011","-30","7530","-30.06","82","-0.06",,,
"1708895973.012",,"6950","-30.19","82","-0.19",,,
"1708895973.013","-30","3475","-30.12","82","-0.12",,,
"1708895973.014","-30","5212",,,,,,
"1708895973.061",,,"-30.03","82",,,,
"1708895973.062",,,,,"-0.03",,,
"1708895973.063","-30","7722","-30.02",,,,,
"1708895973.064",,,,"82","-0.02",,,
"1708895973.065","-30","7915",,,,,,
"1708895973.066",,,"-30.05","82","-0.05",,,
"1708895973.067","-30","7336",,,,,,
"1708895973.081","-30","11198","-29.96","83","0.1",,,
"1708895973.082","-30","9653","-30.07","83","0.04",,,
"1708895973.083","-30","6757",,"82","-0.07",,,
"1708895973.084","-30",,"-30.09","82","-0.09",,,
"1708895973.085",,"6178","-29.98","83",,,,
"1708895973.086","-30",,,,"0.02",,,
"1708895973.467",,"9074",,,,,,
"1708895973.468","-30",,"-29.97","83","0.03",,,
"1708895973.469",,"9267",,,,,,
"1708895973.47",,,"-30.01","82","-0.01",,,
"1708895973.471","-30","8302",,,,,,
"1708895973.472",,,"-30","82","0",,,
"1708895973.473","-30",,,,,,,
"1708895973.475",,"8495","-30.13",,,,,
"1708895973.476","-30",,,"82","-0.13",,,
"1708895973.477",,"5019","-30.06","82",,,,
"1708895973.478","-30","6950","-30.02",,"-0.06",,,
"1708895973.479","-30","7915",,"82","-0.02",,,
"1708895973.48",,,"-29.95","82","0.05",,,
"1708895973.481","-30","9846","-29.99",,,,,
"1708895973.482","-30",,,"83","0.01",,,
"1708895973.483",,"8881","-30","83",,,,
"1708895973.484","-30","8688","-29.92",,"0",,,
"1708895973.485","-30",,,"83","0.08",,,
"1708895973.486",,"10811","-29.95","82","0.05",,,
"1708895973.487","-30","10039",,,,,,
"1708895973.493","-30",,"-30.1","82","-0.1",,,
"1708895973.494","-30","5985","-30.05","82","-0.05",,,
"1708895973.495","-30","7336","-30","83","0",,,
"1708895973.496",,"8688","-30.04","82",,,,
"1708895973.497","-30",,,,"-0.04",,,
"1708895973.498",,"7529","-30.1","82","-0.1",,,
"1708895973.499","-30","5791","-30.17","82",,,,
"1708895973.5","-30","4054","-29.98",,"-0.17",,,
"1708895973.501","-30","9073","-29.95","82","0.05",,,
"1708895973.502","-30","10039","-30.02","82","-0.02",,,
"1708895973.503","-30","7915","-30.04","82","-0.04",,,
"1708895973.504","-30","7529","-30.07","82","-0.07",,,
"1708895973.505","-30","6757","-30",,,,,
"1708895973.506",,,,"82",,,,
"1708895973.509",,,,,"0",,,
"1708895973.51","-30","8494","-30.07",,,,,
"1708895973.511","-30",,,"82","-0.07",,,
"1708895973.512",,"6757","-30",,,,,
"1708895973.513","-30",,,"83","0",,,
"1708895973.514",,"8494","-30.1","82",,,,
"1708895973.515","-30",,,,"-0.1",,,
"1708895973.516",,"5984","-30.12","82",,,,
"1708895973.517","-30","5405",,,"-0.12",,,
"1708895973.518",,,"-30.07","82",,,,
"1708895973.519","-30","6756",,,"-0.07",,,
"1708895973.52",,,"-30.07","82","-0.07",,,
"1708895973.521","-30","6563",,,,,,
"1708895973.522",,,"-30.07","82","-0.07",,,
"1708895973.523","-30","6756",,,,,,
"1708895973.524",,,"-30.07",,,,,
"1708895973.525","-30","6563",,"82","-0.07",,,
"1708895973.526","-30",,"-29.89","82","0.11",,,
"1708895973.527",,"11583","-29.96","83",,,,
"1708895973.528","-30","9652",,,"0.04",,,
"1708895973.529","-30",,"-30.05","82","-0.05",,,
"1708895973.53",,"7335","-30.07","82",,,,
"1708895973.531","-30","6563","-29.97",,"-0.07",,,
"1708895973.532","-30","9266",,"83","0.03",,,
"1708895973.533","-30",,"-29.97","83","0.03",,,
"1708895973.534",,"9459","-30.01","82",,,,
"1708895973.535","-30","8301","-30.12","82","-0.01",,,
"1708895973.536","-30","5405",,,"-0.12",,,
"1708895973.537","-30",,"-30.16","83","-0.16",,,
"1708895973.538",,"4246","-30.11","82","-0.11",,,
"1708895973.539","-30","5597",,,,,,
"1708895973.54",,,"-30.02","82","-0.02",,,
"1708895973.541","-30","7914","-29.91","83",,,,
"1708895973.542","-30","11003",,,"0.09",,,
"1708895973.543","-30","7528","-30.04","82","-0.04",,,
"1708895973.544",,,"-29.97","83","0.03",,,
"1708895973.545","-30",,,,,,,
"1708895973.98","-30","9266","-29.97","83","0.03",,,
"1708895973.981",,"9459","-29.98",,,,,
"1708895973.982","-30","9073",,"82","0.02",,,
"1708895973.983","-30",,"-30.05","82","-0.05",,,
"1708895973.984",,"7335","-30.02","82","-0.02",,,
"1708895973.985","-30","7914","-30.04","82","-0.04",,,
"1708895973.986","-30","7528","-30.02","82",,,,
"1708895973.987","-30","7914","-30.09","82","-0.02",,,
"1708895973.988","-30","6177","-29.95","82","-0.09",,,
"1708895973.989","-30","10038","-30.02",,"0.05",,,
"1708895973.991","-30",,,"82","-0.02",,,
"1708895973.992",,"7914","-30.03",,,,,
"1708895973.993","-30",,,"82","-0.03",,,
"1708895973.994","-30","7721","-30.05","82","-0.05",,,
"1708895973.995",,"7142","-30","83","0",,,
"1708895973.996","-30","8686","-29.92",,,,,
"1708895973.997","-30","10810","-30.04","82","0.08",,,
"1708895973.998","-30","7528","-29.92","82","-0.04",,,
"1708895973.999","-30","10810","-29.95","82","0.08",,,
"1708895974.008","-30",,,"82","0.05",,,
"1708895974.009","-30","10038","-30.1","82","-0.1",,,
"1708895974.01","-30","5983","-30.12","82","-0.12",,,
"1708895974.011",,"5211","-30.1","82","-0.1",,,
"1708895974.012","-30","5790","-30.07","83","-0.07",,,
"1708895974.013","-30","6562","-30.04","82",,,,
"1708895974.014","-30","7528","-30.03","82","-0.03",,,
"1708895974.015","-30","7721","-30.02","82","-0.02",,,
"1708895974.016","-30","8107","-29.98","83","0.02",,,
"1708895974.017","-30","6369","-30.08","82","-0.08",,,
"1708895974.018","-30",,"-30","83","0",,,
"1708895974.019",,"8493","-29.88","83",,,,
"1708895974.02","-30","11775",,,"0.12",,,
"1708895974.021","-30","10231","-29.94","82","0.06",,,
"1708895974.022","-30","6949","-30.06","82","-0.06",,,
"1708895974.023",,,"-29.91","83","0.09",,,
"1708895974.024","-30","11003","-30.06","82","-0.06",,,
"1708895974.025","-30","6949","-30.06","82","-0.06",,,
"1708895974.026","-30","6949","-30.11","83","-0.11",,,
"1708895974.027","-30",,,,,,,
"1708895974.028",,"5597","-30.12","82",,,,
"1708895974.029","-30","5211","-30.07","82","-0.12",,,
